Apple	0.641518	0.665079	0.676305	0.669778	0.613558	0.683599	0.679881	0.686468	0.621914	0.67271	0.652759	0.627857	0.635576	0.629187	0.609842	0.62623	0.598251	0.599894	0.645812	0.665923	0.636412	0.639956	0.641203	0.629757	0.622778	0.642409	0.607187	0.627248	0.608909	0.635667	0.645577	0.633583	0.633572	0.634563	0.64713	0.634571	0.635829	0.70438	0.726141	0.633507	0.603872	0.64043	0.60604	0.624417	0.620421	0.658058	0.605241	0.625186	0.567352	0.568589	0.560996	0.564633	0.615766	0.602754	0.609317	0.631653	0.603615	0.608137	0.632647	0.637588	0.637021	0.641725	0.640913	0.66659	0.601328	0.652506	0.658808	0.63995	0.646836	0.618823	0.605036	0.607492	0.64139	0.648141	0.59775	0.655929	0.598215	0.644186	0.642701	0.628311	0.637385	0.6735	0.650989	0.637794	0.639375	0.639489	0.658739	0.686732	0.631812	0.658413	0.656856	0.563532	0.582126	0.626723	0.598859	0.591746	0.642044	0.671463	0.640309	0.700022	0.597808	0.646507	0.60648	0.619427	0.648208	0.631644	0.666298	0.609359	0.681909	0.555799	0.628748	0.626321	0.615423	0.687163	0.58679	0.643973	0.632756	0.597266	0.642424	0.620035	0.561066	0.627499	0.61336	0.631894	0.636089	0.606029	0.650576
Banana	0.275439	0.371382	0.409374	0.421745	0.261532	0.38773	0.407833	0.39195	0.263628	0.407719	0.392619	0.343939	0.391724	0.344341	0.349018	0.356571	0.310773	0.311038	0.358098	0.358711	0.339321	0.344557	0.361649	0.29947	0.330606	0.356739	0.265889	0.3225	0.350567	0.441027	0.43226	0.439124	0.432353	0.436566	0.410776	0.448168	0.424692	0.410198	0.375576	0.434158	0.274966	0.428612	0.324875	0.322243	0.249157	0.426532	0.318509	0.351781	0.188933	0.224483	0.242077	0.230928	0.270505	0.265679	0.276158	0.252085	0.316033	0.231847	0.434772	0.399482	0.249027	0.351178	0.361107	0.379368	0.259674	0.257444	0.307562	0.377027	0.307771	0.32389	0.296821	0.293839	0.424063	0.332647	0.25338	0.364426	0.259915	0.432438	0.419599	0.370575	0.3771	0.404913	0.403813	0.3461	0.408214	0.3937	0.369924	0.385553	0.436343	0.413247	0.41259	0.256808	0.266915	0.349553	0.300924	0.260491	0.313604	0.395302	0.364492	0.371603	0.265028	0.345268	0.279475	0.229837	0.345203	0.429666	0.385116	0.278001	0.378685	0.23177	0.440236	0.438663	0.415133	0.387189	0.267264	0.254264	0.386317	0.308224	0.271895	0.275811	0.200932	0.281029	0.324039	0.43574	0.356587	0.326256	0.357686
Basil	0.676244	0.707063	0.690251	0.709742	0.599603	0.737395	0.709034	0.706026	0.735028	0.687702	0.705962	0.679285	0.709621	0.689885	0.651359	0.608134	0.74746	0.63307	0.697957	0.716338	0.68776	0.681817	0.719062	0.639829	0.701883	0.681009	0.680544	0.665375	0.656816	0.730483	0.703127	0.750247	0.715724	0.770334	0.752535	0.773252	0.759254	0.746688	0.771917	0.719766	0.734384	0.731337	0.69522	0.64316	0.578163	0.705046	0.717202	0.677608	0.59015	0.590331	0.584221	0.590973	0.664699	0.635118	0.668716	0.639027	0.674703	0.599504	0.72858	0.705512	0.670533	0.673853	0.710934	0.707594	0.559817	0.55009	0.548161	0.582001	0.595827	0.664788	0.713441	0.682943	0.709984	0.684055	0.665733	0.703287	0.620241	0.738252	0.711707	0.608376	0.642317	0.678874	0.639413	0.700336	0.74549	0.619059	0.718593	0.722121	0.750551	0.696103	0.701474	0.593	0.626669	0.7056	0.729092	0.632158	0.683613	0.679937	0.694172	0.740174	0.59933	0.689264	0.622096	0.556168	0.691765	0.727231	0.688692	0.676708	0.727296	0.586595	0.711973	0.697756	0.676391	0.720615	0.628806	0.632212	0.632764	0.623899	0.677043	0.671437	0.570075	0.665854	0.701611	0.718383	0.708519	0.689304	0.667822
Black_Pepper	0.368078	0.480172	0.482792	0.520496	0.421071	0.439335	0.456341	0.436667	0.38791	0.476319	0.477127	0.437592	0.447649	0.442401	0.4261	0.447278	0.39517	0.386473	0.440178	0.432011	0.413906	0.423948	0.422716	0.444405	0.404651	0.414088	0.38725	0.452631	0.413885	0.469355	0.489318	0.47275	0.456857	0.498462	0.466473	0.488122	0.505823	0.462452	0.454882	0.505843	0.377474	0.461633	0.40978	0.445261	0.386124	0.491184	0.384585	0.399495	0.32643	0.330564	0.330942	0.32107	0.365208	0.339029	0.352537	0.354407	0.402637	0.36494	0.485986	0.451782	0.429892	0.425963	0.425853	0.421733	0.402785	0.443891	0.453303	0.447555	0.457569	0.45027	0.383038	0.367915	0.474326	0.411061	0.351552	0.422553	0.372424	0.474367	0.450125	0.489011	0.510901	0.484752	0.458325	0.421057	0.455209	0.489706	0.418728	0.43371	0.492101	0.455264	0.489585	0.330627	0.340732	0.431341	0.390238	0.332083	0.397779	0.435368	0.420249	0.452045	0.410485	0.459657	0.394383	0.382431	0.419239	0.46797	0.426579	0.3724	0.433591	0.319257	0.469645	0.463743	0.458665	0.434319	0.33765	0.452579	0.445941	0.378912	0.365888	0.356642	0.333759	0.364413	0.397104	0.483933	0.416352	0.385153	0.414384
Cheese	0.550787	0.50793	0.530794	0.523233	0.474185	0.514966	0.512201	0.504824	0.525057	0.520122	0.500321	0.508858	0.513079	0.493855	0.48579	0.470768	0.503425	0.476892	0.517535	0.52026	0.498785	0.490066	0.492816	0.470865	0.495827	0.512812	0.495589	0.486101	0.489683	0.496638	0.49858	0.501659	0.507489	0.495596	0.527008	0.500323	0.491506	0.521868	0.525738	0.495505	0.506865	0.503909	0.512915	0.474979	0.447152	0.506585	0.511578	0.517046	0.508683	0.491009	0.486056	0.498041	0.594221	0.548189	0.533463	0.514606	0.48955	0.490884	0.495119	0.513469	0.458057	0.488291	0.491437	0.513958	0.450224	0.448667	0.449106	0.460697	0.464347	0.479067	0.493616	0.48669	0.496639	0.493447	0.500973	0.503922	0.517683	0.527214	0.505279	0.507117	0.516516	0.533069	0.495702	0.493292	0.512444	0.520767	0.500897	0.508521	0.494204	0.503288	0.509108	0.48192	0.53174	0.505593	0.501718	0.554185	0.492724	0.507629	0.497968	0.524544	0.470573	0.502268	0.475132	0.455261	0.498666	0.512056	0.509129	0.500318	0.51388	0.480958	0.507422	0.505988	0.475873	0.508164	0.522689	0.469792	0.480316	0.471925	0.582225	0.523974	0.477408	0.537783	0.503733	0.492401	0.493308	0.489045	0.500666
Chocolate	0.779279	0.859162	0.801979	0.779648	0.750944	0.808564	0.813998	0.790671	0.777918	0.799618	0.885151	0.801547	0.831658	0.797147	0.762035	0.767437	0.80651	0.746927	0.80124	0.796017	0.790566	0.804199	0.795014	0.781759	0.803305	0.770744	0.78103	0.778249	0.768855	0.812362	0.833898	0.816199	0.841056	0.795511	0.845732	0.806664	0.790395	0.859573	0.845811	0.791977	0.764701	0.832708	0.837295	0.773135	0.658555	0.813049	0.780547	0.762134	0.696028	0.688049	0.687974	0.673027	0.756533	0.79275	0.779705	0.726048	0.810331	0.74993	0.834665	0.834862	0.788871	0.813349	0.806414	0.771732	0.719305	0.746639	0.751054	0.782802	0.781437	0.770726	0.762144	0.738635	0.863584	0.80626	0.710713	0.789909	0.743641	0.852289	0.841472	0.739538	0.765233	0.788966	0.758864	0.799724	0.82254	0.748398	0.779979	0.792693	0.789185	0.83261	0.835925	0.697829	0.731574	0.792044	0.792674	0.715462	0.782849	0.780472	0.797194	0.834576	0.776332	0.803113	0.749113	0.694327	0.804969	0.822404	0.769372	0.763203	0.792216	0.669101	0.82066	0.837995	0.801547	0.792702	0.755599	0.7716	0.747083	0.726762	0.771139	0.776577	0.692753	0.756372	0.790614	0.807551	0.787577	0.756903	0.772918
Cinnamon	0.395027	0.540823	0.480711	0.466463	0.443963	0.444097	0.449697	0.431326	0.427433	0.489261	0.530643	0.466393	0.490034	0.470322	0.445694	0.467611	0.447561	0.431103	0.462584	0.45026	0.446369	0.463551	0.451944	0.478918	0.426187	0.425705	0.439696	0.470069	0.438961	0.463493	0.482534	0.4717	0.47106	0.460642	0.494882	0.46222	0.463664	0.487106	0.468852	0.464359	0.413346	0.480881	0.434829	0.468191	0.424228	0.471324	0.419268	0.416018	0.385238	0.358604	0.364989	0.369995	0.368574	0.417478	0.389159	0.39282	0.461689	0.444477	0.474059	0.492171	0.505331	0.468055	0.461482	0.4438	0.430542	0.498843	0.501018	0.499379	0.504747	0.463282	0.405183	0.4048	0.504835	0.458127	0.386273	0.442748	0.416416	0.495342	0.463863	0.435793	0.453457	0.465871	0.470559	0.456493	0.485866	0.448196	0.440596	0.433658	0.451653	0.456697	0.488442	0.364347	0.405159	0.464558	0.435709	0.383995	0.442665	0.429477	0.442914	0.464495	0.447387	0.492582	0.431245	0.41401	0.458968	0.482762	0.436374	0.402228	0.438441	0.369855	0.479166	0.477649	0.445915	0.433875	0.394643	0.495987	0.464636	0.415102	0.381259	0.384799	0.372336	0.388323	0.424224	0.460275	0.436943	0.412211	0.426881
Cloves	0.497278	0.449269	0.432169	0.429298	0.445205	0.475831	0.451699	0.457084	0.481246	0.433097	0.457745	0.436089	0.436611	0.437556	0.470962	0.40513	0.478563	0.417907	0.448822	0.469869	0.543019	0.493758	0.50054	0.417139	0.50472	0.453481	0.458745	0.509509	0.436189	0.466328	0.44411	0.444062	0.442742	0.452416	0.453911	0.458717	0.443648	0.481596	0.480384	0.446103	0.528191	0.455147	0.495898	0.489259	0.381116	0.432269	0.492441	0.457341	0.437101	0.412498	0.408029	0.416897	0.47337	0.448267	0.479433	0.453403	0.45868	0.417957	0.446799	0.439624	0.407279	0.480686	0.491519	0.444774	0.393902	0.385659	0.381729	0.38702	0.39974	0.546915	0.53933	0.522775	0.476291	0.507774	0.442172	0.463947	0.426846	0.457709	0.448518	0.368252	0.385819	0.421456	0.408147	0.503624	0.453694	0.384261	0.467241	0.46918	0.453985	0.448016	0.441214	0.411516	0.436201	0.430549	0.476949	0.428346	0.499758	0.444566	0.471667	0.473888	0.432337	0.457513	0.425449	0.399364	0.534663	0.442625	0.442883	0.481765	0.475124	0.41879	0.436049	0.434066	0.419691	0.464439	0.43793	0.411635	0.404175	0.413018	0.489287	0.509887	0.425948	0.472306	0.499311	0.459781	0.499327	0.491956	0.43953
Coffee	0.535885	0.520789	0.556719	0.589087	0.498494	0.576107	0.590996	0.579589	0.514395	0.540892	0.537651	0.505119	0.544208	0.510964	0.499239	0.522697	0.529231	0.474519	0.536201	0.554674	0.521664	0.530239	0.555165	0.491145	0.545245	0.551209	0.509021	0.513955	0.48704	0.554467	0.542814	0.575603	0.619368	0.59389	0.586734	0.586999	0.571356	0.60945	0.588808	0.546828	0.508917	0.552588	0.56407	0.497991	0.409734	0.540215	0.531293	0.56146	0.503277	0.497621	0.491196	0.467613	0.549655	0.525864	0.53019	0.47543	0.526493	0.516053	0.611488	0.539515	0.442955	0.515685	0.543802	0.539416	0.450837	0.400757	0.414263	0.489421	0.460167	0.520816	0.5281	0.484494	0.545502	0.512141	0.534791	0.548257	0.548888	0.609229	0.619829	0.625717	0.619603	0.567778	0.523151	0.54137	0.536761	0.604523	0.540301	0.569295	0.56529	0.598284	0.545588	0.501448	0.496561	0.505101	0.525619	0.486364	0.508389	0.57073	0.550691	0.583778	0.495436	0.514409	0.472953	0.452245	0.522543	0.577776	0.563854	0.493605	0.564354	0.465056	0.593165	0.610983	0.587454	0.573749	0.51365	0.448434	0.500458	0.459129	0.549235	0.540391	0.490288	0.50949	0.549087	0.551426	0.555503	0.518172	0.535623
Garlic	0.965144	0.889013	0.990939	0.987159	0.838459	0.968395	0.958903	0.963125	0.974093	0.969611	0.911993	0.919674	0.966935	0.90027	0.900543	0.836754	0.932371	0.883243	0.950867	0.952575	0.928047	0.94162	0.97478	0.828295	0.949648	0.951731	0.914189	0.885146	0.892133	0.924887	0.928406	0.93509	0.950199	0.912011	1.03311	0.932444	0.895322	0.985803	0.991419	0.904404	0.93475	0.929691	0.945598	0.85855	0.792713	0.942993	0.942152	0.948237	0.871052	0.854953	0.855995	0.859606	0.934392	0.912783	0.924331	0.896936	0.896153	0.856265	0.913719	0.938637	0.790788	0.939948	0.961146	0.943612	0.809373	0.727536	0.733381	0.813378	0.771236	0.880166	0.920674	0.905947	0.911805	0.923629	0.924502	0.963792	0.880092	1.01815	0.944655	0.974231	0.981503	0.991089	0.928251	0.950694	0.939664	0.980949	0.957737	0.960515	0.918963	0.944835	0.946075	0.85966	0.891598	0.925247	0.923759	0.904948	0.911674	0.970384	0.967671	0.977352	0.858789	0.896336	0.890182	0.805711	0.926951	0.97005	0.962764	0.912125	0.972373	0.840411	0.954419	0.950712	0.894141	0.960544	0.892738	0.781611	0.87184	0.881507	0.962714	0.917969	0.833794	0.968262	0.942218	0.916036	0.97694	0.931619	0.940207
